StationID	Date	Hour	Observation	GSM0p50	GFS	IFS
48455	2017072512	12	0.2	11.3	1.6	4.2
48455	2017072612	12	0	19.2	2.8	19
48455	2017072712	12	0	7.9	6.5	2.7
48455	2017072812	12	4	4.2	4.2	1.3
48455	2017072912	12	2	4.8	0.5	2.6
48455	2017073012	12	0	12.9	0.4	4.7
48455	2017073112	12	0	9.9	6.9	17
48455	2017080112	12	0	7.3	4.1	13
48455	2017080212	12	0.5	7.5	0.3	4.4
48455	2017080312	12	6	6.8	0	5.6
48455	2017080412	12	9.4	5.2	0.8	14.6
48455	2017080512	12	0	4.6	0.2	15.3
48455	2017080612	12	2	3.3	14.2	3.7
48455	2017080712	12	2	5	7.6	1.6
48455	2017080812	12	10	6.5	9.5	1.2
48455	2017080912	12	0.6	3.9	4.8	0.4
48455	2017081012	12	0	2.4	5.7	1.8
48455	2017081112	12	13.4	3.6	2.8	1.8
48455	2017081212	12	0	4.6	2.4	0.7
48455	2017081312	12	0	7.5	4.6	2.8
48455	2017081412	12	0	14.9	3	3.5
48455	2017081512	12	7	5.7	3.4	9.3
48455	2017081612	12	2	9.5	4.9	5.7
48455	2017081712	12	85	11.8	20.3	4.9
48455	2017081812	12	28	8	10.6	15.7
48455	2017081912	12	0	22.5	10.1	8.5
48455	2017082012	12	0.8	17.6	28.9	22.1
48455	2017082112	12	0	12.4	81.9	9.9
48455	2017082312	12	31	7.7	5.7	9.5
48455	2017082412	12	16	4.5	1.9	5.1
48455	2017082512	12	0	9.9	13	7.9
48455	2017082612	12	1	10.8	12.8	5.7
48455	2017082712	12	131	17.2	7	27.3
48455	2017082812	12	17	9.5	19.6	15.6
48455	2017082912	12	8	18	0.2	6.5
48455	2017083012	12	0	15.8	27.2	9.5
48455	2017083112	12	5	12.7	4.2	15.1
48455	2017090212	12	12.9	15.7	4.9	13.9
48455	2017090312	12	0	8.3	0.2	2.7
48455	2017090412	12	0	9	5.8	4
48455	2017090512	12	34	8.7	10.8	1.3
48455	2017090612	12	102	9.2	3.1	14.5
48455	2017090712	12	13	2	2.8	2.2
48455	2017090812	12	0	13.3	0.1	1.7
48455	2017090912	12	0	10.4	0.5	2.1
48455	2017091012	12	23	8.6	2.3	4.5
48455	2017091112	12	0	3.9	5.4	4
48455	2017091212	12	7	8.4	7.7	9.4
48455	2017091312	12	23	12.1	6.1	5.5
48455	2017091412	12	0	12.2	7.3	2.6
48455	2017091612	12	46	27.5	8.9	12.4
48455	2017091712	12	4	14	29.7	6.8
48455	2017091812	12	0	11.5	23.9	3.5
48455	2017091912	12	0	2.8	17.3	2.7
48455	2017092012	12	10	2.7	2.9	8.5
48455	2017092112	12	3	11.6	8.5	12
48455	2017092212	12	51	10	3.2	12.1
48455	2017092312	12	45	24.2	2.5	13.2
48455	2017092412	12	2	18.4	41.2	32.3
48455	2017092512	12	0	14.3	3.9	32.9
48455	2017092912	12	30	31	0.2	13.2
48455	2017093012	12	2	23	9	19.2
48455	2017100112	12	12	18	10.9	14.4
48455	2017100212	12	24	12	12.8	15.9
48455	2017100312	12	17	13.7	14	7.4
48455	2017100412	12	13	25.5	27	24.1
